Person_ID,Name,Gender,Course,Subject,Email,Age,City
73,Amit Sharma,Male,BCA,SQL,amit.sharma@gmail.com,22,Unnao
74,Ayesha Singh,Female,BCA,Python,ayesha.singh@gmail.com,20,Kanpur
75,Pankaj Yadav,Male,BBA, Python,pankaj.yadav@gmail.com,21,Lucknow
76,Bhavna Mishra,Female,BCA,Java,bhavna.mishra@gmail.com,22,Unnao
77,Sachin Kumar,Male,BCA,Python,sachin.kumar@gmail.com,20,KANPUR
78,Juhi Verma,Female,BBA,SQL,juhi.verma@gmail.com,21,Lucknow
79,Rakesh Gupta,Male,BCA,Java,rakesh.gupta@gmail.com,,Unnao
80,Payal Sharma,Female,BCA,Python,payal.sharma@gmail.com,20,Kanpur
81,Anurag Singh,Male,BBA,Excel,anurag.singh@gmail.com,21,Lucknow
82,Kiran Yadav,Female,BCA,SQL,kiran.yadav@gmail.com,22,Unnao
83,Prakash Verma,Male,BCA,Python,prakash.verma@gmail.com,20,Kanpur
84,Rekha Gupta,BBA,Java,rekha.gupta@gmail.com,21,Lucknow,
85,Devendra Sharma,Male,BCA,SQL,devendra.sharma@gmail.com,22,Lucknow 
86,Suman Singh,Female,BCA,Python,suman.singh@gmail.com,20,Kanpur
87,Raj Yadav,Male,BBA,Excel,raj.yadav@gmail.com,21,Lucknow
88,Rachna Mishra,Female ,BCA,Java,rachna.mishra@gmail.com,22,Unnao
89,Kunal Kumar,Male,BCA,kunal.kumar@gmail.com,20,,
90,Ritu Verma,Female,BBA,SQL,ritu.verma@gmail.com,21,Lucknow
91,Aman Gupta,Male,BCA,Java,aman.gupta@gmail.com,22,Unnao
92,Shivani Sharma,Female,BCA,Python,shivani.sharma@gmail.com,20,Kanpur
93,Rohit Singh,Male,BBA,rohit.singh@gmail.com,21,Lucknow,
94,Nikita Yadav,Female,BCA,SQL,nikita.yadav@gmail.com,22,Unnao
95, Sandeep Verma ,Male,BCA,Python,sandeep.verma@gmail.com,20,Kanpur
96,Kusum Gupta,Female,BBA,Java,kusum.gupta@gmail.com,21,Lucknow
97,Alok Sharma,Male,BCA ,SQL,alok.sharma@gmail.com,22,Unnao
98,Rachit Singh,Male,BCA,,rachit.singh@gmail.com,20,Kanpur
99,Divyanshi Yadav,Female,BBA,Excel,21,Lucknow,
100,Poonam Mishra,Female,BCA,Java,poonam.mishra@gmail.com,22,Unnao
15,Mohit Yadav,Male,BBA,Excel,mohit.yadav@gmail.com,22,Lucknow
38,Mansi Singh,Female,BCA,Python,mansi.singh@gmail.com,20,Kanpur
74,Ayesha Singh,Female,BCA,Python,ayesha.singh@gmail.com,20,Kanpur
96,Kusum Gupta,Female,BBA,Java,kusum.gupta@gmail.com,21,Lucknow
5,Vikash Yadav,Male,bca,SQL,vikash.yadav@gmail.com,21,
12,Simran Khan,female,BBA,Excel,simran.khan@gmail.com,22,Lucknow
30,Aditi Verma,Female,BBA,SQL,aditi.verma@gmail.com,21,Lucknow
51,Vivek Yadav,Male,BBA,Excel,vivek.yadav@gmail.com,21,Lucknow
